"paralog","gene","moes_score","rank","fdr","cis_rank","func_rank","boot_rank_lo","boot_rank_hi","rel_interval_width","stable","in_regulon"
"MYC","RNF213",0.125063202239315,1091,1,9413,330,1112,1206,0.0091,TRUE,FALSE
"MYC","VKORC1",0.125063202239315,1091,1,330,5628,288,6115,0.561,FALSE,TRUE
"MYC","KIF26A",0.125313086915591,1093,1,2486,2600,1135,6394,0.5063,FALSE,FALSE
"MYC","GAMT",0.125409500135272,1094,1,2601,588,64,1908,0.1775,TRUE,FALSE
"MYC","PPM1F",0.125436045747767,1095,1,6454,331,93,1207,0.1073,TRUE,FALSE
"MYC","ZNF629",0.125436045747767,1095,1,331,6236,322,6356,0.5809,FALSE,TRUE
"MYC","HELZ2",0.125602437799269,1097,1,2603,1446,370,4443,0.3921,FALSE,FALSE
"MYC","GABBR2",0.125698962243584,1098,1,411,2604,172,6383,0.5979,FALSE,FALSE
"MYC","BCO2",0.125808852181341,1099,1,6454,332,97,1210,0.1071,TRUE,FALSE
"MYC","RHPN1",0.125808852181341,1099,1,332,8807,160,8704,0.8226,FALSE,TRUE
"MYC","COX6B1",0.126085430769622,1101,1,2608,2420,1035,6169,0.4943,FALSE,FALSE
"MYC","NCS1",0.126181621540037,1102,1,333,8264,152,8704,0.8233,FALSE,TRUE
"MYC","DDX41",0.126278887481908,1103,1,2610,988,179,2800,0.2524,FALSE,FALSE
"MYC","TMEM276",0.126472492493704,1104,1,2612,2243,932,5928,0.481,FALSE,FALSE
"MYC","HECTD4",0.126554353823855,1105,1,6454,334,92,1214,0.108,TRUE,FALSE
"MYC","ST3GAL2",0.126554353823855,1105,1,334,2725,245,6505,0.6027,FALSE,TRUE
"MYC","KIFC2",0.126569350611919,1107,1,2613,1827,510,4895,0.4222,FALSE,FALSE
"MYC","ASPM",0.126927049032796,1108,1,6454,335,96,1216,0.1077,TRUE,FALSE
"MYC","TIMM23",0.127299707166858,1109,1,6454,336,98,1219,0.1078,TRUE,FALSE
"MYC","SRF",0.127442742045356,1110,1,968,2622,428,6403,0.5752,FALSE,FALSE
"MYC","SCN1B",0.127637236854219,1111,1,884,2624,468,6255,0.5571,FALSE,FALSE
"MYC","WDR20",0.127637236854219,1111,1,2624,1784,497,4849,0.419,FALSE,FALSE
"MYC","CDK5",0.127672328226043,1113,1,6454,337,90,1221,0.1088,TRUE,FALSE
"MYC","RPS6KB1",0.127734539870968,1114,1,2625,719,84,2389,0.2219,TRUE,FALSE
"MYC","SCN4B",0.127831879962594,1115,1,2626,959,169,2763,0.2497,TRUE,FALSE
"MYC","SRSF2",0.127929257129098,1116,1,2043,2627,1145,6406,0.5065,FALSE,FALSE
"MYC","ZNF189",0.12802667137048,1117,1,2628,2051,573,5165,0.4421,FALSE,FALSE
"MYC","GRM4",0.128044912210351,1118,1,338,7316,302,8679,0.8065,FALSE,TRUE
"MYC","XKR9",0.128044912210351,1118,1,6454,338,93,1224,0.1089,TRUE,FALSE
"MYC","SYVN1",0.12841745911978,1120,1,339,6509,152,8682,0.8212,FALSE,TRUE
"MYC","WSB2",0.12841745911978,1120,1,9726,339,1155,1230,0.0071,TRUE,FALSE
"MYC","ZNF551",0.128514298700556,1122,1,2633,650,74,2051,0.1903,TRUE,FALSE
"MYC","BUB1B",0.128789968954332,1123,1,6454,340,88,1229,0.1098,TRUE,FALSE
"MYC","MEF2D",0.128789968954332,1123,1,340,10293,296,8703,0.8093,FALSE,TRUE
"MYC","MRPL50",0.128807319997135,1125,1,2636,583,61,1898,0.1769,TRUE,FALSE
"MYC","AFMID",0.129100674967614,1126,1,2639,1968,549,5050,0.4333,FALSE,FALSE
"MYC","INTS4",0.129162441714005,1127,1,6454,341,94,1231,0.1095,TRUE,FALSE
"MYC","PDXP",0.129162441714005,1127,1,341,3101,158,8688,0.8212,FALSE,TRUE
"MYC","OXA1L",0.12919853410753,1129,1,2640,659,72,2067,0.1921,TRUE,FALSE
"MYC","CES2",0.129394363611994,1130,1,2642,2272,953,5963,0.4823,FALSE,FALSE
"MYC","FAAP100",0.129534877398802,1131,1,342,10224,344,8704,0.8048,FALSE,TRUE
"MYC","TK1",0.129590341415969,1132,1,2644,820,135,2581,0.2355,TRUE,FALSE
"MYC","TYK2",0.129884586183515,1133,1,2647,899,153,2683,0.2436,TRUE,FALSE
"MYC","CCDC88A",0.12990727600872,1134,1,3080,343,38,1236,0.1154,TRUE,FALSE
"MYC","GCSH",0.130080934736268,1135,1,1695,2649,1119,6437,0.5119,FALSE,FALSE
"MYC","FBXW9",0.130277431588532,1136,1,2651,1040,194,2892,0.2597,FALSE,FALSE
"MYC","PPID",0.130277431588532,1136,1,523,2651,236,6440,0.5973,FALSE,FALSE
"MYC","DTX3L",0.13027963754376,1138,1,6454,344,97,1238,0.1098,TRUE,FALSE
"MYC","PRKD2",0.13027963754376,1138,1,344,4726,160,6943,0.6529,FALSE,TRUE
"MYC","CCDC127",0.130474076740307,1140,1,2653,1569,416,4622,0.4049,FALSE,FALSE
"MYC","BPNT1",0.130572454928511,1141,1,1420,2654,1013,6439,0.5224,FALSE,FALSE
"MYC","TMEM107",0.130651962003923,1142,1,345,9368,304,8705,0.8088,FALSE,TRUE
"MYC","ADGRE5",0.130769322529553,1143,1,1483,2656,1044,6445,0.52,FALSE,FALSE
"MYC","FBXO45",0.130769322529553,1143,1,2656,1604,431,4663,0.4074,FALSE,FALSE
"MYC","DHRS4",0.131024249389208,1145,1,346,7553,294,8703,0.8095,FALSE,TRUE
"MYC","MED18",0.131024249389208,1145,1,3353,346,44,1244,0.1155,TRUE,FALSE
"MYC","DIMT1",0.131262140342519,1147,1,1097,2661,459,6453,0.577,FALSE,FALSE
"MYC","COA5",0.131396499699615,1148,1,6454,347,98,1246,0.1104,TRUE,FALSE
"MYC","PMPCB",0.13145952699185,1149,1,2663,894,153,2680,0.2433,TRUE,FALSE
"MYC","PRPSAP1",0.131558275928833,1150,1,1507,2664,1127,6429,0.5105,FALSE,FALSE
"MYC","SMARCC2",0.13175588502743,1151,1,2666,2052,577,5166,0.4418,FALSE,FALSE
"MYC","AP5M1",0.131768712935144,1152,1,6454,348,94,1248,0.1111,TRUE,FALSE
"MYC","PNPLA7",0.131768712935144,1152,1,348,7460,154,8704,0.8231,FALSE,TRUE
"MYC","CYC1",0.13205257673691,1154,1,2669,2400,1023,6141,0.4927,FALSE,FALSE
"MYC","DLX1",0.132140889095796,1155,1,349,5128,255,8682,0.8113,FALSE,TRUE
"MYC","GPR137",0.132448684731172,1156,1,2673,946,166,2740,0.2478,TRUE,FALSE
"MYC","METTL23",0.132448684731172,1156,1,1705,2673,895,6466,0.5364,FALSE,FALSE
"MYC","CISD3",0.132513028181569,1158,1,350,7284,158,8685,0.8209,FALSE,TRUE
"MYC","IGFBP7",0.132513028181569,1158,1,9885,350,1180,1254,0.0071,TRUE,FALSE
"MYC","GADD45G",0.13264696117757,1160,1,2154,2675,1183,6463,0.5083,FALSE,FALSE
"MYC","HIPK1",0.132746155013086,1161,1,2676,832,137,2603,0.2374,TRUE,FALSE
"MYC","BSG",0.13324268031383,1162,1,2681,1704,468,4764,0.4136,FALSE,FALSE
"MYC","RPS6KA5",0.133257195128484,1163,1,352,4227,154,8684,0.8212,FALSE,TRUE
"MYC","GADD45GIP1",0.133629222989624,1164,1,353,3476,278,6343,0.5838,FALSE,TRUE
"MYC","SSH2",0.133629222989624,1164,1,6454,353,98,1258,0.1117,TRUE,FALSE
"MYC","ZNF600",0.133640567902226,1166,1,2102,2685,1149,6478,0.513,FALSE,FALSE
"MYC","REV3L",0.133839734145691,1167,1,2687,829,139,2595,0.2365,TRUE,FALSE
"MYC","GEMIN8",0.134001213775887,1168,1,6454,354,96,1262,0.1122,TRUE,FALSE
"MYC","ZNF526",0.134001213775887,1168,1,354,7756,312,8704,0.8078,FALSE,TRUE
"MYC","CARD8",0.134039048688667,1170,1,2689,1579,421,4637,0.4059,FALSE,FALSE
"MYC","ABL2",0.134373167487271,1171,1,6454,355,100,1265,0.1122,TRUE,FALSE
"MYC","NECTIN1",0.134438122673152,1172,1,1202,2693,1010,6444,0.5232,FALSE,FALSE
"MYC","PACS2",0.134438122673152,1172,1,2693,2375,1007,6104,0.4907,FALSE,FALSE
"MYC","PIK3R2",0.134745084123779,1174,1,356,7213,225,6832,0.6361,FALSE,TRUE
"MYC","TAF1",0.134745084123779,1174,1,3260,356,43,1266,0.1177,TRUE,FALSE
"MYC","NLE1",0.134837789855681,1176,1,2192,2697,1136,6492,0.5157,FALSE,FALSE
"MYC","CDC40",0.135116963685407,1177,1,6454,357,97,1269,0.1128,TRUE,FALSE
"MYC","DPYSL3",0.135238050236255,1178,1,2701,2477,1060,6237,0.4984,FALSE,FALSE
"MYC","BDKRB1",0.135488806172159,1179,1,9738,358,1200,1274,0.0071,TRUE,FALSE
"MYC","ST6GALNAC2",0.135488806172159,1179,1,358,2704,152,6499,0.611,FALSE,TRUE
"MYC","TLCD4",0.135538634807903,1181,1,2704,1852,517,4923,0.4241,FALSE,FALSE
"MYC","MLLT10",0.135739209896723,1182,1,362,2706,255,6478,0.5991,FALSE,TRUE
"MYC","RPS18",0.135739209896723,1182,1,2706,2175,846,5831,0.4799,FALSE,FALSE
"MYC","MRPS18A",0.135860611584033,1184,1,2777,359,33,1272,0.1193,TRUE,FALSE
"MYC","SLC4A11",0.136040350591538,1185,1,2224,2709,1197,6511,0.5116,FALSE,FALSE
"MYC","DPYSL5",0.136232379921028,1186,1,360,8148,163,8705,0.8223,FALSE,TRUE
"MYC","VEZF1",0.136241296429136,1187,1,2711,1884,526,4958,0.4267,FALSE,FALSE
"MYC","ZNF606",0.136241296429136,1187,1,1547,2711,1073,6513,0.5237,FALSE,FALSE
"MYC","C2CD2L",0.136542993247117,1189,1,1694,2714,1104,6514,0.5208,FALSE,FALSE
"MYC","SEC14L1",0.136542993247117,1189,1,2714,1775,495,4839,0.4182,FALSE,FALSE
"MYC","ATXN7L2",0.136604111183147,1191,1,361,6466,280,6316,0.5811,FALSE,TRUE
