"K","observed","expected","ratio","null_lo","null_hi","testable","above_envelope","paralog"
1232,169,146.127274477713,1.15652605308652,0.848575328891887,1.14283935423343,TRUE,TRUE,"MYCN"
1421,229,194.400789448349,1.17797875538383,0.874482045481446,1.13168264709364,TRUE,TRUE,"MYCN"
1638,300,258.30788485607,1.1614047328333,0.898152993391089,1.10720584530108,TRUE,TRUE,"MYCN"
1888,379,343.173582362569,1.10439736471201,0.914988845698075,1.08982747863401,TRUE,TRUE,"MYCN"
2176,502,455.855973813421,1.10122501148897,0.930118336397059,1.07270723230699,TRUE,TRUE,"MYCN"
2508,645,605.570809665929,1.06511078424639,0.937958023956513,1.05850544604952,TRUE,TRUE,"MYCN"
2891,847,804.648214113796,1.05263391522325,0.946997689964717,1.04645108909782,TRUE,TRUE,"MYCN"
3332,1120,1068.85761047463,1.04784771051278,0.958944381323958,1.04036308400911,TRUE,TRUE,"MYCN"
3841,1495,1420.36016174064,1.05254993787484,0.96665623057,1.03142853443922,TRUE,TRUE,"MYCN"
4428,1957,1887.66573601617,1.03673015972105,0.974219092349008,1.0261483074265,TRUE,TRUE,"MYCN"
5104,2550,2508.02118032156,1.01673782502629,0.981640434027095,1.02032631146756,TRUE,FALSE,"MYCN"
5883,3357,3332.01973620872,1.0074970335619,0.98558089686966,1.01500749327739,TRUE,FALSE,"MYCN"
6782,4468,4428.18176566862,1.008992005396,0.990016948714401,1.0103526089843,TRUE,FALSE,"MYCN"
7817,5907,5882.88139019929,1.00409979535554,0.993390757416245,1.00613961210588,TRUE,FALSE,"MYCN"
9011,7820,7817.28323866371,1.00034753267258,0.997021569008968,1.00303388793935,TRUE,FALSE,"MYCN"
10387,10387,10387,1,1,1,TRUE,FALSE,"MYCN"
20,0,0.0385096755559834,0,0,25.9675,FALSE,FALSE,"MYCL1"
23,0,0.0509290459227881,0,0,19.6351606805293,FALSE,FALSE,"MYCL1"
27,0,0.0701838837007798,0,0,14.2482853223594,FALSE,FALSE,"MYCL1"
31,0,0.0925194955232502,0,0,10.8085327783559,FALSE,FALSE,"MYCL1"
35,0,0.117935881390199,0,0,8.47918367346939,FALSE,FALSE,"MYCL1"
41,0,0.16183691152402,0,0,6.17906008328376,FALSE,FALSE,"MYCL1"
47,0,0.212669683257919,0,0,4.70212765957447,FALSE,FALSE,"MYCL1"
54,0,0.280735534803119,0,0,7.1241426611797,FALSE,FALSE,"MYCL1"
62,1,0.370077982093001,2.70213319458897,0,5.40426638917794,FALSE,FALSE,"MYCL1"
72,1,0.499085395205545,2.00366512345679,0,4.00733024691358,FALSE,FALSE,"MYCL1"
83,1,0.663232887262925,1.50776600377413,0,4.5232980113224,FALSE,FALSE,"MYCL1"
95,1,0.868874554731876,1.15091412742382,0,3.45274238227147,FALSE,FALSE,"MYCL1"
110,1,1.1649176855685,0.858429752066116,0,3.43371900826446,FALSE,FALSE,"MYCL1"
127,1,1.55280639260614,0.643995287990576,0,2.5759811519623,FALSE,FALSE,"MYCL1"
