dataset_id	file_name	source_url	size_bytes_expected	dest
GSE281524	GSM8622663_SHP-77_ASCL1ChiP1.hg38.sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622663/suppl/GSM8622663_SHP-77_ASCL1ChiP1.hg38.sorted.RmDup.10mNorm.bw	389012032	data/raw/GSE281524/GSM8622663_SHP-77_ASCL1ChiP1.hg38.sorted.RmDup.10mNorm.bw
GSE281524	GSM8622664_SHP-77_ASCL1ChiP2.hg38.sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622664/suppl/GSM8622664_SHP-77_ASCL1ChiP2.hg38.sorted.RmDup.10mNorm.bw	309174536	data/raw/GSE281524/GSM8622664_SHP-77_ASCL1ChiP2.hg38.sorted.RmDup.10mNorm.bw
GSE281524	GSM8622665_SHP-77_IgGcont1.hg38.sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622665/suppl/GSM8622665_SHP-77_IgGcont1.hg38.sorted.RmDup.10mNorm.bw	444659286	data/raw/GSE281524/GSM8622665_SHP-77_IgGcont1.hg38.sorted.RmDup.10mNorm.bw
GSE281524	GSM8622666_SHP-77_IgGcont2.hg38.sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622666/suppl/GSM8622666_SHP-77_IgGcont2.hg38.sorted.RmDup.10mNorm.bw	628806752	data/raw/GSE281524/GSM8622666_SHP-77_IgGcont2.hg38.sorted.RmDup.10mNorm.bw
GSE281524	GSM8622667_SHP-77_input.hg38.sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622667/suppl/GSM8622667_SHP-77_input.hg38.sorted.RmDup.10mNorm.bw	518296545	data/raw/GSE281524/GSM8622667_SHP-77_input.hg38.sorted.RmDup.10mNorm.bw
GSE210113	GSE210113_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210113/suppl/GSE210113_RAW.tar	12523520	data/raw/GSE210113/GSE210113_RAW.tar
GSE249362	GSM8209574_20240222_KS195_ChIP_NCIH1048_DMSO_POU2F3_CST_DX1.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8209nnn/GSM8209574/suppl/GSM8209574_20240222_KS195_ChIP_NCIH1048_DMSO_POU2F3_CST_DX1.bed.gz	181493	data/raw/GSE249362/GSM8209574_20240222_KS195_ChIP_NCIH1048_DMSO_POU2F3_CST_DX1.bed.gz
GSE249362	GSM8209575_20240222_KS199_ChIP_NCIH1048_FHD286_POU2F3_CST_DX1.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8209nnn/GSM8209575/suppl/GSM8209575_20240222_KS199_ChIP_NCIH1048_FHD286_POU2F3_CST_DX1.bed.gz	4606	data/raw/GSE249362/GSM8209575_20240222_KS199_ChIP_NCIH1048_FHD286_POU2F3_CST_DX1.bed.gz
GSE249362	GSM8209576_20240222_KS203_ChIP_NCIH1048_FHD609_POU2F3_CST_DX1.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8209nnn/GSM8209576/suppl/GSM8209576_20240222_KS203_ChIP_NCIH1048_FHD609_POU2F3_CST_DX1.bed.gz	122139	data/raw/GSE249362/GSM8209576_20240222_KS203_ChIP_NCIH1048_FHD609_POU2F3_CST_DX1.bed.gz
GSE249362	GSM8209584_20240402_KS235_ChIP_NCIH526_POU2F3_CST_CKX.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8209nnn/GSM8209584/suppl/GSM8209584_20240402_KS235_ChIP_NCIH526_POU2F3_CST_CKX.bed.gz	664791	data/raw/GSE249362/GSM8209584_20240402_KS235_ChIP_NCIH526_POU2F3_CST_CKX.bed.gz
